cement,ggbs,flyash,silica_fume,limestone_powder,quartz_powder,nano_silica,water,superplasticizer,coarse_agg,fine_agg,temperature,age,cs,is_uhpc,binder,water_binder_ratio
550,0,0,0,0,0,0,165,3.3,584,607,0,7,49.71,0,550,0.299999999
385,0,165,0,0,0,0,148,6.05,702,729,0,7,18.53,0,550,0.269090909
275,0,275,0,0,0,0,146,5.5,717,745,0,7,15.09,0,550,0.265454545
165,0,385,0,0,0,0,172,4.4,728,757,0,7,6.34,0,550,0.312727272
385,165,0,0,0,0,0,155,6.6,778,815,0,7,42.83,0,550,0.281818181
275,275,0,0,0,0,0,162,6.05,753,789,0,7,46.49,0,550,0.294545454
165,385,0,0,0,0,0,172,4.4,695,729,0,7,38.28,0,550,0.312727272
509,0,0,41,0,0,0,221,4.4,701,734,0,7,39.12,0,550,0.401818181
468,0,0,82,0,0,0,197,6.05,726,760,0,7,35.71,0,550,0.358181818
550,0,0,0,0,0,0,165,3.3,584,607,0,14,56.53,0,550,0.299999999
385,0,165,0,0,0,0,148,6.05,702,729,0,14,28.05,0,550,0.269090909
275,0,275,0,0,0,0,146,5.5,717,745,0,14,23.65,0,550,0.265454545
165,0,385,0,0,0,0,172,4.4,728,757,0,14,7.08,0,550,0.312727272
385,165,0,0,0,0,0,155,6.6,778,815,0,14,55.49,0,550,0.281818181
275,275,0,0,0,0,0,162,6.05,753,789,0,14,52.53,0,550,0.294545454
165,385,0,0,0,0,0,172,4.4,695,729,0,14,44.56,0,550,0.312727272
509,0,0,41,0,0,0,221,4.4,701,734,0,14,42.5,0,550,0.401818181
468,0,0,82,0,0,0,197,6.05,726,760,0,14,42.81,0,550,0.358181818
550,0,0,0,0,0,0,165,3.3,584,607,0,28,59.43,0,550,0.299999999
385,0,165,0,0,0,0,148,6.05,702,729,0,28,35.5,0,550,0.269090909
275,0,275,0,0,0,0,146,5.5,717,745,0,28,46.48,0,550,0.265454545
165,0,385,0,0,0,0,172,4.4,728,757,0,28,14.11,0,550,0.312727272
385,165,0,0,0,0,0,155,6.6,778,815,0,28,61.11,0,550,0.281818181
275,275,0,0,0,0,0,162,6.05,753,789,0,28,59,0,550,0.294545454
165,385,0,0,0,0,0,172,4.4,695,729,0,28,47.69,0,550,0.312727272
509,0,0,41,0,0,0,221,4.4,701,734,0,28,43,0,550,0.401818181
468,0,0,82,0,0,0,197,6.05,726,760,0,28,70.92,0,550,0.358181818
550,0,0,0,0,0,0,165,3.3,584,607,0,56,63.05,0,550,0.299999999
385,0,165,0,0,0,0,148,6.05,702,729,0,56,50.55,0,550,0.269090909
275,0,275,0,0,0,0,146,5.5,717,745,0,56,55.28,0,550,0.265454545
165,0,385,0,0,0,0,172,4.4,728,757,0,56,21.83,0,550,0.312727272
385,165,0,0,0,0,0,155,6.6,778,815,0,56,64.68,0,550,0.281818181
275,275,0,0,0,0,0,162,6.05,753,789,0,56,61.14,0,550,0.294545454
165,385,0,0,0,0,0,172,4.4,695,729,0,56,49.65,0,550,0.312727272
509,0,0,41,0,0,0,221,4.4,701,734,0,56,50.33,0,550,0.401818181
468,0,0,82,0,0,0,197,6.05,726,760,0,56,73.76,0,550,0.358181818
378,0,0,0,0,0,0,170,0.56,1124,726,0,3,15,0,378,0.449735449
309,0,0,0,0,0,0,170,0,1159,749,0,3,14,0,309,0.550161811
262,0,0,0,0,0,0,170,0,1184,764,0,3,10,0,262,0.648854959
227,0,0,0,0,0,0,170,0,1202,776,0,3,8,0,227,0.748898675
378,0,0,0,0,0,0,170,0.75,1015,653,0,3,15,0,378,0.449735449
309,0,0,0,0,0,0,170,0.61,1047,674,0,3,12,0,309,0.550161811
262,0,0,0,0,0,0,170,0.52,1069,688,0,3,8,0,262,0.648854959
227,0,0,0,0,0,0,170,0.34,1095,700,0,3,6,0,227,0.748898675
378,0,0,0,0,0,0,170,0.56,1124,726,0,7,28,0,378,0.449735449
309,0,0,0,0,0,0,170,0,1159,749,0,7,20,0,309,0.550161811
262,0,0,0,0,0,0,170,0,1184,764,0,7,15,0,262,0.648854959
227,0,0,0,0,0,0,170,0,1202,776,0,7,14,0,227,0.748898675
378,0,0,0,0,0,0,170,0.75,1015,653,0,7,23,0,378,0.449735449
309,0,0,0,0,0,0,170,0.62,1047,674,0,7,18,0,309,0.550161811
262,0,0,0,0,0,0,170,0.52,1069,688,0,7,14,0,262,0.648854959
227,0,0,0,0,0,0,170,0.34,1095,700,0,7,10,0,227,0.748898675
378,0,0,0,0,0,0,170,0.56,1124,726,0,28,43,0,378,0.449735449
309,0,0,0,0,0,0,170,0,1159,749,0,28,36,0,309,0.550161811
262,0,0,0,0,0,0,170,0,1184,764,0,28,26,0,262,0.648854959
227,0,0,0,0,0,0,170,0,1202,776,0,28,23,0,227,0.748898675
378,0,0,0,0,0,0,170,0.75,1015,653,0,28,39,0,378,0.449735449
309,0,0,0,0,0,0,170,0.62,1047,674,0,28,22,0,309,0.550161811
262,0,0,0,0,0,0,170,0.52,1069,688,0,28,22,0,262,0.648854959
227,0,0,0,0,0,0,170,0.34,1095,700,0,28,17,0,227,0.748898675
385,0,165,0,0,0,0,148,6.05,985,550,0,7,16,0,550,0.269090909
275,0,275,0,0,0,0,146,5.5,978,547,0,7,15,0,550,0.265454545
165,0,385,0,0,0,0,172,4.4,972,544,0,7,6.34,0,550,0.312727272
385,0,165,0,0,0,0,148,6.05,985,550,0,14,23.5,0,550,0.269090909
275,0,275,0,0,0,0,146,5.5,978,547,0,14,23,0,550,0.265454545
165,0,385,0,0,0,0,172,4.4,972,544,0,14,6.5,0,550,0.312727272
