cement,ggbs,flyash,silica_fume,limestone_powder,quartz_powder,nano_silica,water,superplasticizer,coarse_agg,fine_agg,temperature,age,cs,is_uhpc,binder,water_binder_ratio
550.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,3.3,584.0,607.0,0,7,49.71,0,550.0,0.2999999994545455
385.0,0.0,165.0,0.0,0.0,0.0,0.0,148.0,6.05,702.0,729.0,0,7,18.53,0,550.0,0.2690909086016529
275.0,0.0,275.0,0.0,0.0,0.0,0.0,146.0,5.5,717.0,745.0,0,7,15.09,0,550.0,0.26545454497190085
165.0,0.0,385.0,0.0,0.0,0.0,0.0,172.0,4.4,728.0,757.0,0,7,6.34,0,550.0,0.3127272721586777
385.0,165.0,0.0,0.0,0.0,0.0,0.0,155.0,6.6,778.0,815.0,0,7,42.83,0,550.0,0.2818181813057851
275.0,275.0,0.0,0.0,0.0,0.0,0.0,162.0,6.05,753.0,789.0,0,7,46.49,0,550.0,0.2945454540099174
165.0,385.0,0.0,0.0,0.0,0.0,0.0,172.0,4.4,695.0,729.0,0,7,38.28,0,550.0,0.3127272721586777
509.0,0.0,0.0,41.0,0.0,0.0,0.0,221.0,4.4,701.0,734.0,0,7,39.12,0,550.0,0.4018181810876033
468.0,0.0,0.0,82.0,0.0,0.0,0.0,197.0,6.05,726.0,760.0,0,7,35.71,0,550.0,0.35818181753057854
550.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,3.3,584.0,607.0,0,14,56.53,0,550.0,0.2999999994545455
385.0,0.0,165.0,0.0,0.0,0.0,0.0,148.0,6.05,702.0,729.0,0,14,28.05,0,550.0,0.2690909086016529
275.0,0.0,275.0,0.0,0.0,0.0,0.0,146.0,5.5,717.0,745.0,0,14,23.65,0,550.0,0.26545454497190085
165.0,0.0,385.0,0.0,0.0,0.0,0.0,172.0,4.4,728.0,757.0,0,14,7.08,0,550.0,0.3127272721586777
385.0,165.0,0.0,0.0,0.0,0.0,0.0,155.0,6.6,778.0,815.0,0,14,55.49,0,550.0,0.2818181813057851
275.0,275.0,0.0,0.0,0.0,0.0,0.0,162.0,6.05,753.0,789.0,0,14,52.53,0,550.0,0.2945454540099174
165.0,385.0,0.0,0.0,0.0,0.0,0.0,172.0,4.4,695.0,729.0,0,14,44.56,0,550.0,0.3127272721586777
