cement,ggbs,flyash,silica_fume,limestone_powder,quartz_powder,nano_silica,water,superplasticizer,coarse_agg,fine_agg,temperature,age,cs,is_uhpc,binder,water_binder_ratio
450.0,0.0,0.0,50.0,0.0,0.0,0.0,90.0,18.0,1992.0,0.0,20,28,131.0,1,500.0,0.17999999964
630.0,0.0,0.0,70.0,0.0,0.0,0.0,126.0,18.0,1788.0,0.0,20,28,135.0,1,700.0,0.17999999974285713
810.0,0.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,28,137.0,1,900.0,0.1799999998
810.0,0.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,28,137.0,1,900.0,0.1799999998
630.0,180.0,0.0,90.0,0.0,0.0,0.0,126.0,18.0,1539.0,0.0,20,28,150.0,1,900.0,0.13999999984444444
630.0,180.0,0.0,90.0,0.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,28,142.0,1,900.0,0.1599999998222222
630.0,180.0,0.0,90.0,0.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,28,142.0,1,900.0,0.1599999998222222
450.0,180.0,0.0,90.0,180.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,28,150.0,1,900.0,0.1599999998222222
270.0,180.0,0.0,90.0,360.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,28,130.0,1,900.0,0.1599999998222222
450.0,0.0,0.0,50.0,0.0,0.0,0.0,90.0,18.0,1992.0,0.0,20,56,139.0,1,500.0,0.17999999964
630.0,0.0,0.0,70.0,0.0,0.0,0.0,126.0,18.0,1788.0,0.0,20,56,146.0,1,700.0,0.17999999974285713
810.0,0.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,56,150.0,1,900.0,0.1799999998
810.0,0.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,56,150.0,1,900.0,0.1799999998
630.0,180.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,56,141.0,1,900.0,0.1799999998
450.0,360.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,56,133.0,1,900.0,0.1799999998
630.0,180.0,0.0,90.0,0.0,0.0,0.0,126.0,18.0,1539.0,0.0,20,56,159.0,1,900.0,0.13999999984444444
630.0,180.0,0.0,90.0,0.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,56,160.0,1,900.0,0.1599999998222222
630.0,180.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,56,141.0,1,900.0,0.1799999998
630.0,180.0,0.0,90.0,0.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,56,160.0,1,900.0,0.1599999998222222
450.0,180.0,0.0,90.0,180.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,56,161.0,1,900.0,0.1599999998222222
270.0,180.0,0.0,90.0,360.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,56,139.0,1,900.0,0.1599999998222222
450.0,0.0,0.0,50.0,0.0,0.0,0.0,90.0,18.0,1992.0,0.0,20,90,151.0,1,500.0,0.17999999964
630.0,0.0,0.0,70.0,0.0,0.0,0.0,126.0,18.0,1788.0,0.0,20,90,160.0,1,700.0,0.17999999974285713
810.0,0.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,90,170.0,1,900.0,0.1799999998
810.0,0.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,90,170.0,1,900.0,0.1799999998
630.0,180.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,90,169.0,1,900.0,0.1799999998
630.0,180.0,0.0,90.0,0.0,0.0,0.0,126.0,18.0,1539.0,0.0,20,90,168.0,1,900.0,0.13999999984444444
630.0,180.0,0.0,90.0,0.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,90,172.0,1,900.0,0.1599999998222222
630.0,180.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,90,169.0,1,900.0,0.1799999998
630.0,180.0,0.0,90.0,0.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,90,172.0,1,900.0,0.1599999998222222
450.0,180.0,0.0,90.0,180.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,90,176.0,1,900.0,0.1599999998222222
270.0,180.0,0.0,90.0,360.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,90,150.0,1,900.0,0.1599999998222222
450.0,0.0,0.0,50.0,0.0,0.0,0.0,90.0,18.0,1992.0,0.0,20,180,159.0,1,500.0,0.17999999964
630.0,0.0,0.0,70.0,0.0,0.0,0.0,126.0,18.0,1788.0,0.0,20,180,167.0,1,700.0,0.17999999974285713
810.0,0.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,180,174.0,1,900.0,0.1799999998
810.0,0.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,180,174.0,1,900.0,0.1799999998
630.0,180.0,0.0,90.0,0.0,0.0,0.0,162.0,18.0,1539.0,0.0,20,180,170.0,1,900.0,0.1799999998
630.0,180.0,0.0,90.0,0.0,0.0,0.0,126.0,18.0,1539.0,0.0,20,180,168.0,1,900.0,0.13999999984444444
630.0,180.0,0.0,90.0,0.0,0.0,0.0,144.0,18.0,1539.0,0.0,20,180,175.0,1,900.0,0.1599999998222222
