Number,Delivery batch time [Qualitative],Curing temperature days 2-28 in °C,Curing class days 2-28 [Qualitative],Ingredient moisture in Kg/(15 liter),Sand type I in Kg/(15 liter),Sand type II in Kg/(15 liter),Filler type I in Kg/(15 liter),Filler type II in Kg/(15 liter),Superplasticizer in Kg/(15 liter),Curing temperature day 1 in °C,Curing class day 1 [Qualitative],Ingredient temperature  in °C,Graphite in Kg/(15 liter),Average electrical power consumption (mixing process) in kW,Temperature (fresh state) in °C,Electrical conductivity (fresh state),Air content (fresh state) in %,Slump flow (fresh state) in s,Funnel runtime (fresh state) in s,Compressive strength day 1 in MPa,Compressive strength day 28 in MPa,Flexural strength day 1 in MPa,Flexural strength day 28 in MPa
1,1,20,1,3.042,6.9,8.925,5.1,0.863,0.29,20,1,10,0.045,0.71625,17.6,1884.666667,1,360,8,64.05,109.145,9.025,12.24666667
2,1,20,1,2.925,6,10.5,6,0.75,0.323,20,2,20,0,1.085405405,23.7,1881,1.6,315,10,52.07833333,123.5916667,8.063333333,11.74
3,1,20,1,3.159,5.4,11.55,6.6,0.675,0.306,10,2,25,0.09,1.303492958,27.1,1939,1.9,285,9,11.365,119.3466667,2.946666667,11.24
4,1,20,1,3.276,6.3,9.975,5.7,0.788,0.355,30,2,30,0.135,0.648100264,26.2,1886.666667,0.9,370,9,58.555,101.6633333,8.403333333,11.68666667
5,1,20,1,3.364,5.1,12.075,6.9,0.638,0.339,40,2,40,0.225,0.897269303,31.9,1880.666667,3.8,190,10,55.525,89.28166667,7.726666667,10.04
6,1,20,2,3.042,6,10.5,6.6,0.675,0.355,40,2,20,0.09,0.868289086,24.3,1882.333333,3.3,330,12,71.55666667,96.56166667,7.3,14.52
7,1,20,2,2.925,5.4,11.55,5.7,0.788,0.339,20,1,25,0.135,1.09204023,26.8,1921.333333,2.2,277.5,9,55.96666667,116.3983333,9.17,17.27
8,1,20,2,3.159,6.3,9.975,6.9,0.788,0.29,20,2,30,0.225,1.005610465,27.1,1886,1.9,260,13,54.19833333,106.545,7.906666667,16.66333333
9,1,20,2,3.276,5.1,12.075,5.1,0.863,0.323,10,2,40,0.045,0.853665339,29,1899,2.1,317.5,7,23.3,105.905,4.236666667,16.57
10,1,20,2,3.364,6.9,8.925,6,0.75,0.306,30,2,10,0,0.809009346,19.1,1898,0.6,342.5,4,55.52333333,109.8666667,7.423333333,17.16333333
11,1,10,2,3.042,5.4,11.55,6.9,0.638,0.323,30,2,10,0.09,1.36090566,19.3,1897.333333,1.2,365,14,61.36,100.2383333,8.756666667,14.38333333
12,1,10,2,2.925,6.3,9.975,5.1,0.863,0.306,40,2,20,0.135,0.934357977,24.1,1881.666667,2.9,340,7,77.35333333,90.06,7.916666667,14.93
13,1,10,2,3.159,5.1,12.075,6,0.75,0.355,20,1,25,0.225,0.735126761,26.7,1893,1.9,285,9,53.525,93.855,8.586666667,13.02
14,1,10,2,3.276,6.9,8.925,6.6,0.675,0.339,20,2,30,0.045,0.944561404,28.3,1887.333333,1.6,350,8,52.245,92.65333333,7.793333333,13.10333333
15,1,10,2,3.364,6,10.5,5.7,0.788,0.29,10,2,40,0,0.366827881,30.3,1881,2.8,295,9,12.13333333,93.848,3.423333333,12.35
16,1,30,2,3.042,6.3,9.975,6,0.75,0.339,10,2,25,0.045,1.147709924,25.8,1879.666667,3.4,275,8,34.18666667,135.7133333,5.346666667,18.96
17,1,40,2,2.925,5.1,12.075,6.6,0.675,0.29,30,2,30,0,0.648100264,28.3,1886.333333,2.1,270,10,63.40666667,100.6966667,7.983333333,19.95666667
18,1,30,2,3.159,6.9,8.925,5.7,0.788,0.323,40,2,40,0.09,0.801929825,27.4,1891.333333,1.3,342.5,6,62.13333333,110.3116667,7.806666667,18.51666667
19,1,30,2,3.276,6,10.5,6.9,0.638,0.306,20,1,10,0.135,1.212750716,20.6,1887.333333,0.6,345,6,52.955,122.405,7.77,22.7
20,1,30,2,3.364,5.4,11.55,5.1,0.863,0.355,20,2,20,0.225,0.823409962,19.8,1887.333333,1.3,395,6,34.45333333,118.0933333,5.253333333,17.83666667
21,1,40,2,3.042,5.1,12.075,5.7,0.788,0.306,20,2,25,0,1.059647059,25.6,1935.666667,1.8,300,8,50.25833333,130.8616667,7.47,23.84
