Annexure :  
Data set for concrete compressive strength experimentally gathered in IIT Bhubaneswar concrete laboratory used to train/test 
machine learning models 
 
Serial_No cement flyash GGBS MK TCM water water/TCM SP VMA NCA_20_DOWN NCA_10_DOWN RCA_20_Down RCA_10DOWN SAND AGE CS 
001 550 0 0 0 550 165 0.3 3.3 0.28 0 0 247 337 607 7 49.71 
002 385 165 0 0 550 148 0.26 6.05 1.1 0 0 270 432 729 7 18.53 
003 275 275 0 0 550 146 0.26 5.5 1.1 0 0 276 441 745 7 15.09 
004 165 385 0 0 550 172 0.3 4.4 1.1 0 0 280 448 757 7 6.34 
005 385 0 165 0 550 155 0.28 6.6 1.38 0 0 361 417 815 7 42.83 
006 275 0 275 0 550 162 0.29 6.05 1.1 0 0 349 404 789 7 46.49 
007 165 0 385 0 550 172 0.31 4.4 1.1 0 0 322 373 729 7 38.28 
008 509 0 0 41 550 221 0.40 4.4 0.55 0 0 325 376 734 7 39.12 
009 468 0 0 82 550 197 0.35 6.05 0.28 0 0 337 389 760 7 35.71 
010 550 0 0 0 550 165 0.3 3.3 0.28 0 0 247 337 607 14 56.53 
011 385 165 0 0 550 148 0.26 6.05 1.1 0 0 270 432 729 14 28.05 
012 275 275 0 0 550 146 0.26 5.5 1.1 0 0 276 441 745 14 23.65 
013 165 385 0 0 550 172 0.31 4.4 1.1 0 0 280 448 757 14 7.08 
014 385 0 165 0 550 155 0.28 6.6 1.38 0 0 361 417 815 14 55.49 
015 275 0 275 0 550 162 0.29 6.05 1.1 0 0 349 404 789 14 52.53 
016 165 0 385 0 550 172 0.31 4.4 1.1 0 0 322 373 729 14 44.56 
017 509 0 0 41 550 221 0.40 4.4 0.55 0 0 325 376 734 14 42.50 
018 468 0 0 82 550 197 0.35 6.05 0.28 0 0 337 389 760 14 42.81 
019 550 0 0 0 550 165 0.3 3.3 0.28 0 0 247 337 607 28 59.43 
020 385 165 0 0 550 148 0.26 6.05 1.1 0 0 270 432 729 28 35.50 
021 275 275 0 0 550 146 0.26 5.5 1.1 0 0 276 441 745 28 46.48 
022 165 385 0 0 550 172 0.31 4.4 1.1 0 0 280 448 757 28 14.11 
023 385 0 165 0 550 155 0.28 6.6 1.38 0 0 361 417 815 28 61.11 
024 275 0 275 0 550 162 0.29 6.05 1.1 0 0 349 404 789 28 59.00 
025 165 0 385 0 550 172 0.31 4.4 1.1 0 0 322 373 729 28 47.69 
026 509 0 0 41 550 221 0.40 4.4 0.55 0 0 325 376 734 28 43.00 
027 468 0 0 82 550 197 0.35 6.05 0.28 0 0 337 389 760 28 70.92 
028 550 0 0 0 550 165 0.3 3.3 0.28 0 0 247 337 607 56 63.05 
029 385 165 0 0 550 148 0.26 6.05 1.1 0 0 270 432 729 56 50.55 
030 275 275 0 0 550 146 0.26 5.5 1.1 0 0 276 441 745 56 55.28 
031 165 385 0 0 550 172 0.31 4.4 1.1 0 0 280 448 757 56 21.83 
032 385 0 165 0 550 155 0.28 6.6 1.38 0 0 361 417 815 56 64.68 
033 275 0 275 0 550 162 0.29 6.05 1.1 0 0 349 404 789 56 61.14 
034 165 0 385 0 550 172 0.31 4.4 1.1 0 0 322 373 729 56 49.65 
035 509 0 0 41 550 221 0.40 4.4 0.55 0 0 325 376 734 56 50.33 
036 468 0 0 82 550 197 0.35 6.05 0.28 0 0 337 389 760 56 73.76 
037 378 0 0 0 378 170 0.45 0.56 0 565 559 0 0 726 3 15.00 
038 309 0 0 0 309 170 0.55 0 0 583 576 0 0 749 3 14.00 
039 262 0 0 0 262 170 0.65 0 0 595 589 0 0 764 3 10.00 
040 227 0 0 0 227 170 0.75 0 0 604 598 0 0 776 3 8.00 
041 378 0 0 0 378 170 0.45 0.75 0 0 0 476 539 653 3 15.00 
042 309 0 0 0 309 170 0.55 0.61 0 0 0 491 556 674 3 12.00 
043 262 0 0 0 262 170 0.65 0.52 0 0 0 501 568 688 3 8.00 
044 227 0 0 0 227 170 0.75 0.34 0 0 0 516 579 700 3 6.00 
045 378 0 0 0 378 170 0.45 0.56 0 565 559 0 0 726 7 28.00 
046 309 0 0 0 309 170 0.55 0 0 583 576 0 0 749 7 20.00 
047 262 0 0 0 262 170 0.65 0 0 595 589 0 0 764 7 15.00 
048 227 0 0 0 227 170 0.75 0 0 604 598 0 0 776 7 14.00 
049 378 0 0 0 378 170 0.45 0.75 0 0 0 476 539 653 7 23.00 
050 309 0 0 0 309 170 0.55 0.62 0 0 0 491 556 674 7 18.00 
051 262 0 0 0 262 170 0.65 0.52 0 0 0 501 568 688 7 14.00 
052 227 0 0 0 227 170 0.75 0.34 0 0 0 516 579 700 7 10.00 
053 378 0 0 0 378 170 0.45 0.56 0 565 559 0 0 726 28 43.00 
054 309 0 0 0 309 170 0.55 0 0 583 576 0 0 749 28 36.00 
055 262 0 0 0 262 170 0.65 0 0 595 589 0 0 764 28 26.00 
056 227 0 0 0 227 170 0.75 0 0 604 598 0 0 776 28 23.00 
057 378 0 0 0 378 170 0.45 0.75 0 0 0 476 539 653 28 39.00 
058 309 0 0 0 309 170 0.55 0.62 0 0 0 491 556 674 28 22.00 
059 262 0 0 0 262 170 0.65 0.52 0 0 0 501 568 688 28 22.00 
060 227 0 0 0 227 170 0.75 0.34 0 0 0 516 579 700 28 17.00 
061 385 165 0 0 550 148 0.26 6.05 1.1 0 0 355 630 550 7 16.00 
062 275 275 0 0 550 146 0.26 5.5 1.1 0 0 352 626 547 7 15.00 
063 165 385 0 0 550 172 0.31 4.4 1.1 0 0 350 622 544 7 6.34 
064 385 165 0 0 550 148 0.26 6.05 1.1 0 0 355 630 550 14 23.50 
065 275 275 0 0 550 146 0.26 5.5 1.1 0 0 352 626 547 14 23.00 
066 165 385 0 0 550 172 0.31 4.4 1.1 0 0 350 622 544 14 6.50 
067 385 165 0 0 550 148 0.26 6.05 1.1 0 0 355 630 550 28 30.00 
068 275 275 0 0 550 146 0.26 5.5 1.1 0 0 352 626 547 28 38.00 
069 165 385 0 0 550 172 0.31 4.4 1.1 0 0 350 622 544 28 10.00 
070 385 165 0 0 550 148 0.269 6.05 1.1 0 0 355 630 550 56 42.00 
071 275 275 0 0 550 146 0.26 5.5 1.1 0 0 352 626 547 56 45.00 
072 165 385 0 0 550 172 0.31 4.4 1.1 0 0 350 622 544 56 18.00 
073 385 0 165 0 550 155 0.28 6.6 1.38 0 0 347 616 539 7 33.00 
074 275 0 275 0 550 162 0.29 6.05 1.1 0 0 340 604 528 7 40.00 
