No,Fly_ash,Silica_fume,Blast_furnace_slag,Sand_to_binder_ratio,Water_to_binder_ratio,Steel_fiber,Superplasticizer,CS
1,0.0,0.3,0.0,0.0,1.69,1.69,0.21,0.21
2,0.0,0.3,0.0,0.0,1.69,1.69,0.21,0.21
3,0.0,0.3,0.0,0.0,1.69,1.69,0.21,0.21
4,0.0,0.3,0.0,0.0,1.69,1.69,0.21,0.21
5,0.0,0.3,0.0,0.0,1.69,1.69,0.21,0.21
6,0.0,0.3,0.0,0.0,1.69,1.69,0.21,0.21
7,0.0,0.3,0.0,0.0,1.69,1.69,0.21,0.21
8,0.29,0.14,0.0,0.0,1.98,1.98,0.19,0.19
9,0.29,0.14,0.0,0.0,1.96,1.96,0.19,0.19
10,0.29,0.14,0.0,0.0,1.94,1.94,0.19,0.19
11,0.29,0.14,0.0,0.0,1.92,1.92,0.19,0.19
12,0.29,0.14,0.0,0.0,1.9,1.9,0.19,0.19
13,0.0,0.13,0.2,0.2,1.33,1.33,0.16,0.16
14,0.0,0.13,0.2,0.2,1.33,1.33,0.16,0.16
15,0.0,0.13,0.2,0.2,1.33,1.33,0.16,0.16
16,0.0,0.13,0.2,0.2,1.33,1.33,0.16,0.16
17,0.0,0.13,0.2,0.2,1.47,1.47,0.16,0.16
18,0.0,0.13,0.2,0.2,1.47,1.47,0.16,0.16
19,0.0,0.13,0.13,0.13,0.88,0.88,0.15,0.15
20,0.0,0.13,0.13,0.13,1.0,1.0,0.15,0.15
21,0.0,0.13,0.13,0.13,1.13,1.13,0.15,0.15
22,0.0,0.13,0.13,0.13,1.25,1.25,0.15,0.15
23,0.0,0.13,0.13,0.13,1.38,1.38,0.15,0.15
24,0.0,0.13,0.13,0.13,1.5,1.5,0.15,0.15
25,0.0,0.13,0.13,0.13,1.38,1.38,0.16,0.16
26,0.0,0.13,0.13,0.13,1.38,1.38,0.17,0.17
27,0.0,0.13,0.13,0.13,1.38,1.38,0.18,0.18
28,0.0,0.25,0.0,0.0,1.93,1.93,0.18,0.18
