Feature,Importance
water_binder_ratio,0.7057628522848168
age,0.1246092015369766
fine_agg,0.04665084092997516
cement,0.04004842534127192
binder,0.03004703889818962
temperature,0.020592311212175946
silica_fume,0.011017407533480371
superplasticizer,0.005916992003692132
water,0.005841251460711212
coarse_agg,0.005137251304640291
flyash,0.002407175977942564
ggbs,0.0010273852338375986
limestone_powder,0.000610073275955302
nano_silica,0.00017510675796140248
quartz_powder,0.00015581567366297535
is_uhpc,8.705747100655331e-07
