concrete_type,model,feature,standardized_coefficient,absolute_importance,importance
normal,Gradient Boosting Regressor,age,,0.37810126418860285,0.37810126418860285
uhpc,Gradient Boosting Regressor,age,,0.12455754637319175,0.12455754637319175
normal,Gradient Boosting Regressor,binder,,0.11104336090823778,0.11104336090823778
uhpc,Gradient Boosting Regressor,binder,,0.14370343696748095,0.14370343696748095
normal,Gradient Boosting Regressor,cement,,0.08271423022422608,0.08271423022422608
uhpc,Gradient Boosting Regressor,cement,,0.033586410512824634,0.033586410512824634
normal,Gradient Boosting Regressor,coarse_agg,,0.007895842372645553,0.007895842372645553
uhpc,Gradient Boosting Regressor,coarse_agg,,0.01013006954748421,0.01013006954748421
normal,Gradient Boosting Regressor,fine_agg,,0.011832655783433142,0.011832655783433142
uhpc,Gradient Boosting Regressor,fine_agg,,0.019786113235179082,0.019786113235179082
normal,Gradient Boosting Regressor,flyash,,0.03908699640250523,0.03908699640250523
uhpc,Gradient Boosting Regressor,flyash,,0.0006377357745275687,0.0006377357745275687
normal,Gradient Boosting Regressor,ggbs,,0.008802351576332449,0.008802351576332449
uhpc,Gradient Boosting Regressor,ggbs,,0.0006988038238244754,0.0006988038238244754
normal,Gradient Boosting Regressor,limestone_powder,,0.0,0.0
uhpc,Gradient Boosting Regressor,limestone_powder,,0.0007307427997249637,0.0007307427997249637
normal,Gradient Boosting Regressor,nano_silica,,0.0,0.0
uhpc,Gradient Boosting Regressor,nano_silica,,0.0010565439309180177,0.0010565439309180177
normal,Gradient Boosting Regressor,quartz_powder,,0.0,0.0
uhpc,Gradient Boosting Regressor,quartz_powder,,0.0010659501322438903,0.0010659501322438903
normal,Gradient Boosting Regressor,sand_binder_ratio,,0.0,0.0
uhpc,Gradient Boosting Regressor,sand_binder_ratio,,0.0,0.0
normal,Gradient Boosting Regressor,silica_fume,,0.0008438252007205321,0.0008438252007205321
uhpc,Gradient Boosting Regressor,silica_fume,,0.015855008674587837,0.015855008674587837
normal,Gradient Boosting Regressor,steel_fiber,,0.0,0.0
uhpc,Gradient Boosting Regressor,steel_fiber,,0.0,0.0
normal,Gradient Boosting Regressor,superplasticizer,,0.015255095613406058,0.015255095613406058
uhpc,Gradient Boosting Regressor,superplasticizer,,0.6129436266782634,0.6129436266782634
normal,Gradient Boosting Regressor,temperature,,0.0,0.0
uhpc,Gradient Boosting Regressor,temperature,,0.0017286970438335784,0.0017286970438335784
normal,Gradient Boosting Regressor,water,,0.020074932059301324,0.020074932059301324
uhpc,Gradient Boosting Regressor,water,,0.01080586695248987,0.01080586695248987
normal,Gradient Boosting Regressor,water_binder_ratio,,0.3243494456705891,0.3243494456705891
uhpc,Gradient Boosting Regressor,water_binder_ratio,,0.022713447553425914,0.022713447553425914
normal,Multiple Linear Regression,age,7.0880652637701855,7.0880652637701855,
uhpc,Multiple Linear Regression,age,14.730731814602878,14.730731814602878,
normal,Multiple Linear Regression,binder,3.811021608838539,3.811021608838539,
uhpc,Multiple Linear Regression,binder,22.14863004148955,22.14863004148955,
normal,Multiple Linear Regression,cement,3.110458956097788,3.110458956097788,
uhpc,Multiple Linear Regression,cement,24.437485193507097,24.437485193507097,
normal,Multiple Linear Regression,coarse_agg,1.9323597655525173,1.9323597655525173,
uhpc,Multiple Linear Regression,coarse_agg,18.453741125179544,18.453741125179544,
normal,Multiple Linear Regression,fine_agg,2.603826609869395,2.603826609869395,
uhpc,Multiple Linear Regression,fine_agg,9.735507435181315,9.735507435181315,
normal,Multiple Linear Regression,flyash,-1.3898044980012516,1.3898044980012516,
uhpc,Multiple Linear Regression,flyash,0.029875164029761085,0.029875164029761085,
normal,Multiple Linear Regression,ggbs,1.4049031519107569,1.4049031519107569,
uhpc,Multiple Linear Regression,ggbs,2.225836327345787,2.225836327345787,
normal,Multiple Linear Regression,limestone_powder,4.440892098500626e-16,4.440892098500626e-16,
uhpc,Multiple Linear Regression,limestone_powder,3.7025890575743934,3.7025890575743934,
normal,Multiple Linear Regression,nano_silica,2.6645352591003757e-15,2.6645352591003757e-15,
uhpc,Multiple Linear Regression,nano_silica,-3.6123631937212957,3.6123631937212957,
normal,Multiple Linear Regression,quartz_powder,-4.440892098500626e-16,4.440892098500626e-16,
uhpc,Multiple Linear Regression,quartz_powder,1.7738948506893013,1.7738948506893013,
normal,Multiple Linear Regression,sand_binder_ratio,0.0,0.0,
uhpc,Multiple Linear Regression,sand_binder_ratio,-0.6516543531581462,0.6516543531581462,
normal,Multiple Linear Regression,silica_fume,0.8507212936318818,0.8507212936318818,
uhpc,Multiple Linear Regression,silica_fume,11.879253333022772,11.879253333022772,
normal,Multiple Linear Regression,steel_fiber,0.0,0.0,
uhpc,Multiple Linear Regression,steel_fiber,2.8295471999845394,2.8295471999845394,
normal,Multiple Linear Regression,superplasticizer,2.057100808372017,2.057100808372017,
uhpc,Multiple Linear Regression,superplasticizer,13.977656253748203,13.977656253748203,
normal,Multiple Linear Regression,temperature,0.0,0.0,
uhpc,Multiple Linear Regression,temperature,3.513177344798426,3.513177344798426,
normal,Multiple Linear Regression,water,-0.6948238397492257,0.6948238397492257,
uhpc,Multiple Linear Regression,water,-31.85285288341335,31.85285288341335,
normal,Multiple Linear Regression,water_binder_ratio,-6.041511509468447,6.041511509468447,
uhpc,Multiple Linear Regression,water_binder_ratio,-4.791911186561581,4.791911186561581,
